,,nº acidentes
2018,segunda-feira,9422
2018,terça-feira,8665
2018,quarta-feira,8824
2018,quinta-feira,9230
2018,sexta-feira,10632
2018,sábado,11239
2018,domingo,11283
2019,segunda-feira,9134
2019,terça-feira,8405
2019,quarta-feira,8374
2019,quinta-feira,8755
2019,sexta-feira,10381
2019,sábado,11099
2019,domingo,11298
2020,segunda-feira,8519
2020,terça-feira,7779
2020,quarta-feira,8155
2020,quinta-feira,8244
2020,sexta-feira,9764
2020,sábado,10667
2020,domingo,10420
2021,segunda-feira,10815
2021,terça-feira,7994
2021,quarta-feira,8242
2021,quinta-feira,8637
2021,sexta-feira,10168
2021,sábado,10867
2021,domingo,7792
